40147 ,2051 ,74.2 ,35.3 ,38.2
40148 ,1837 ,67.4 ,28 ,38.4
40150 ,1799 ,53.2 ,51.8 ,1.3
40151 ,2034 ,72.4 ,35.7 ,36.8
40152 ,1610 ,45.5 ,27.1 ,18.4
40153 ,1464 ,49.6 ,48 ,1.6
40154 ,1768 ,49.7 ,30.8 ,18.8
40155 ,1638 ,42.9 ,34.4 ,8.4
40156 ,1282 ,46.1 ,17.8 ,27.9
40157 ,1617 ,63 ,26.6 ,36.7
40158 ,2162 ,64.9 ,49.5 ,15.2
40159 ,1379 ,48.2 ,18.4 ,29.9
40161 ,2078 ,67 ,33.7 ,33.5
40162 ,1941 ,68.4 ,22.4 ,45.2
40163 ,1689 ,56.8 ,25.9 ,30.9
40164 ,1908 ,67.1 ,47.3 ,19.7
40165 ,1863 ,62.6 ,31.1 ,31.3
40166 ,2062 ,63.2 ,28.1 ,34.4
40168 ,1351 ,86.3 ,17.4 ,68.7
40169 ,862 ,23.8 ,21.2 ,1.5
40170 ,1500 ,42.1 ,22.3 ,19.3
40171 ,2271 ,93.2 ,39.5 ,53.4
40173 ,868 ,33.1 ,14.3 ,18.8
40174 ,2116 ,64.1 ,34.8 ,29.4
40175 ,1004 ,39.7 ,27.1 ,12.5
40177 ,1816 ,48.2 ,37.2 ,11.4
40178 ,2085 ,72.6 ,24.5 ,47.2
40180 ,1865 ,73.1 ,24.4 ,48.4
40181 ,1354 ,52.5 ,21.7 ,29.7
40182 ,1814 ,54.2 ,22.7 ,31.6
40183 ,1202 ,39.6 ,23.8 ,15.8
40184 ,1978 ,52.6 ,45.1 ,7.4
40185 ,1692 ,58.7 ,32.2 ,26.4
40186 ,1855 ,53 ,45.9 ,7.1
40187 ,2155 ,79.8 ,39.8 ,39.9
